date,time,temp,az,windspeed,visibility,percipitation
18-11-2019,9,2.1,0,0,2.5,1.5
18-11-2019,6,1,270,2,2.5,0.875
18-11-2019,3,3.2,225,3,5,0.25
18-11-2019,0,5.1,292.5,3,7,0.125
17-11-2019,21,4.7,247.5,2,10,0
17-11-2019,18,5.9,202.5,3,10,0
17-11-2019,15,7,0,0,10,0
17-11-2019,12,5.9,225,2,10,0
16-11-2019,21,3.3,292.5,3,5,0
16-11-2019,18,3.1,270,2,10,0.75
16-11-2019,15,1.6,292.5,2,5,1.5
16-11-2019,12,0.9,180,2,0.8,0.75
16-11-2019,9,1.4,157.5,5,3,0
16-11-2019,6,3.5,180,3,7,0
16-11-2019,3,4.1,0,0,10,0
16-11-2019,0,6.1,292.5,3,10,0
15-11-2019,21,7.3,292.5,4,10,0
15-11-2019,18,11.5,337.5,8,10,0
15-11-2019,15,14.5,270,7,10,0
15-11-2019,12,13,270,9,8,0
15-11-2019,9,9.2,270,4,4,0
15-11-2019,6,5.5,292.5,3,6,0
15-11-2019,3,6.2,315,3,7,0
15-11-2019,0,7.6,292.5,2,6,0
14-11-2019,21,9.5,292.5,3,6,0
14-11-2019,18,11.8,0,0,5,0
14-11-2019,15,15.4,247.5,5,5,0
14-11-2019,12,15,247.5,3,5,0
14-11-2019,9,12.2,180,2,5,0
14-11-2019,6,7.1,315,2,5,0
14-11-2019,3,8.1,0,2,7,0
14-11-2019,0,8.7,337.5,2,4,0
13-11-2019,21,10.4,315,2,5,0
13-11-2019,18,13.9,157.5,2,4.5,0
13-11-2019,15,18.2,202.5,3,4.5,0
13-11-2019,12,18.1,157.5,3,3,0
13-11-2019,9,15,0,0,4,0
13-11-2019,6,8.2,0,2,7,0
13-11-2019,3,8.6,0,2,5,0
13-11-2019,0,9.7,0,2,5,0
12-11-2019,21,11,0,0,5,0
12-11-2019,18,13.4,0,0,6,0
12-11-2019,15,18.4,247.5,3,6,0
12-11-2019,12,17.2,225,2,4,0
12-11-2019,9,14.4,180,2,4,0
12-11-2019,6,7.4,0,0,5,0
12-11-2019,3,7.4,315,2,5,0
12-11-2019,0,9.2,0,0,5,0
11-11-2019,21,10.6,0,0,6,0
11-11-2019,18,13.3,0,0,5,0
11-11-2019,15,16.9,247.5,2,5,0
11-11-2019,12,16.5,180,2,4,0
11-11-2019,9,14.4,157.5,2,6,0
11-11-2019,6,9,337.5,2,8,0
11-11-2019,3,9.8,22.5,2,10,0
11-11-2019,0,9.9,0,0,10,0
10-11-2019,21,12.2,90,2,10,0
10-11-2019,18,14.1,270,2,10,0
10-11-2019,15,17.2,247.5,3,8,0
10-11-2019,12,16.8,202.5,4,6,0
10-11-2019,9,14.3,0,0,5,0
10-11-2019,6,9,315,2,10,0
10-11-2019,3,10.7,0,2,10,0
10-11-2019,0,11.7,337.5,3,8,0
09-11-2019,21,13,112.5,2,7,0
09-11-2019,18,14.4,157.5,2,6,0
09-11-2019,15,17.6,247.5,7,8,0
09-11-2019,12,17.1,247.5,5,5,0
09-11-2019,9,14.5,247.5,3,5,0
09-11-2019,6,9,315,2,7,0
09-11-2019,3,10,0,0,8,0
09-11-2019,0,10.7,315,2,10,0
08-11-2019,21,11.3,0,0,9,0
08-11-2019,18,14,270,2,10,0
08-11-2019,15,16.7,247.5,3,8,0
08-11-2019,12,16.8,180,5,7,0
08-11-2019,9,15,135,2,7,0
08-11-2019,6,9.3,337.5,2,7,0
08-11-2019,3,11,0,0,10,0
08-11-2019,0,11.2,0,0,10,0
07-11-2019,21,12.4,0,0,8,0
07-11-2019,18,15,180,3,7,0
07-11-2019,15,16.9,270,4,6,0
07-11-2019,12,15.8,202.5,2,6,0
07-11-2019,9,14,202.5,2,3,0
07-11-2019,6,8.8,0,2,6,0
07-11-2019,3,10.1,337.5,2,6,0
07-11-2019,0,10.5,337.5,2,8,0
06-11-2019,21,11.6,0,0,10,0
06-11-2019,18,14.5,202.5,2,8,0
06-11-2019,15,16.6,202.5,2,8,0
06-11-2019,12,15.5,112.5,2,6,0
06-11-2019,9,13.3,180,3,5,0
06-11-2019,6,9.8,0,0,5,0
06-11-2019,3,10.1,0,0,7,0
06-11-2019,0,11.2,0,0,9,0
05-11-2019,21,12.4,292.5,2,10,0
05-11-2019,18,15.7,157.5,2,10,0
05-11-2019,15,17.3,225,3,7,0
05-11-2019,12,16.5,202.5,3,3.5,0
05-11-2019,9,14.1,135,2,6,0
05-11-2019,6,9.7,0,0,7,0
05-11-2019,3,10.9,315,2,8,0
05-11-2019,0,10.9,0,0,10,0
04-11-2019,21,12.4,0,0,10,0
04-11-2019,18,14.9,247.5,2,10,0
04-11-2019,15,17,247.5,3,10,0
04-11-2019,12,15.9,157.5,3,11,0
04-11-2019,9,14.4,135,2,10,0
04-11-2019,6,12.4,112.5,3,10,0
04-11-2019,3,12.4,337.5,2,10,0
04-11-2019,0,11.2,292.5,2,10,0
03-11-2019,21,12.8,315,3,10,0
03-11-2019,18,15.5,270,5,10,0
03-11-2019,15,18.8,270,10,12,0
03-11-2019,12,18.9,270,8,10,0
03-11-2019,9,15.6,247.5,4,6,0
03-11-2019,6,11.8,337.5,2,10,0.125
03-11-2019,3,11.9,22.5,2,10,0.25
03-11-2019,0,13.9,0,0,10,0.125
02-11-2019,21,14.6,0,0,10,0
02-11-2019,18,16.8,270,3,10,0
02-11-2019,15,18.8,225,3,10,0
02-11-2019,12,18.4,180,3,10,0
02-11-2019,9,16.8,157.5,2,10,0
02-11-2019,6,11.7,0,0,8,0
02-11-2019,3,12,22.5,2,7,0
02-11-2019,0,12.7,315,2,10,0
01-11-2019,21,14.3,315,2,10,0
01-11-2019,18,16.2,135,2,10,0
01-11-2019,15,18.2,247.5,4,8,0
01-11-2019,12,17.8,202.5,3,8,0
01-11-2019,9,14.4,180,2,8,0
01-11-2019,6,12.6,202.5,2,10,0
01-11-2019,3,13.6,0,0,10,0
01-11-2019,0,14.2,180,3,8,0
31-10-2019,21,15.7,0,0,10,0
31-10-2019,18,16.6,157.5,3,10,0
31-10-2019,15,18.7,202.5,3,10,0
31-10-2019,12,18.5,225,3,7,0
31-10-2019,9,15.3,247.5,3,7,0
31-10-2019,6,9.8,270,2,10,0
31-10-2019,3,10.4,0,0,10,0
31-10-2019,0,12.5,292.5,3,10,0.15
30-10-2019,21,14.5,315,3,10,0.3
30-10-2019,18,14.3,270,6,12,0.275
30-10-2019,15,19,247.5,5,10,0.25
30-10-2019,12,19.4,225,4,5,0.125
30-10-2019,9,16.7,270,2,3,0
30-10-2019,6,13.2,315,2,9,0
30-10-2019,3,12.7,0,0,8,0
30-10-2019,0,13.1,0,0,10,0
29-10-2019,21,14.5,0,0,10,0
29-10-2019,18,16.1,270,2,10,0
29-10-2019,15,19.3,247.5,6,10,0
29-10-2019,12,18.1,225,5,10,0
29-10-2019,9,15.7,202.5,2,12,0
29-10-2019,6,12.1,315,2,14,0
29-10-2019,3,12.1,0,0,12,0
29-10-2019,0,13.4,90,2,12,4.75
28-10-2019,21,10.7,0,4,4,9.5
28-10-2019,18,15.1,90,5,8,5.25
28-10-2019,15,17,112.5,3,7,1
28-10-2019,12,15,67.5,3,6,0.625
28-10-2019,9,14.7,157.5,3,10,0.25
28-10-2019,6,13.1,0,0,7,0.25
28-10-2019,3,13.7,0,0,7,0.25
28-10-2019,0,14.4,0,0,10,0.125
27-10-2019,21,14.7,0,0,10,0
27-10-2019,18,14.8,180,3,10,0
27-10-2019,15,16.4,180,4,5,0
27-10-2019,12,16.2,225,2,4,0
