date,hour,pollution
1398/08/20,13,67
1398/08/20,14,78
1398/08/20,15,66
1398/08/20,16,61
1398/08/20,17,60
1398/08/20,18,57
1398/08/20,19,60
1398/08/20,20,61
1398/08/20,21,78
1398/08/20,22,93
1398/08/20,23,105
1398/08/21,0,103
1398/08/21,1,84
1398/08/21,2,73
1398/08/21,3,69
1398/08/21,4,60
1398/08/21,5,59
1398/08/21,6,63
1398/08/21,7,63
1398/08/21,8,62
1398/08/21,9,72
1398/08/21,10,68
1398/08/21,11,65
1398/08/21,12,77
1398/08/21,13,91
1398/08/21,14,85
1398/08/21,15,68
1398/08/21,16,59
1398/08/21,17,55
1398/08/21,18,66
1398/08/21,19,65
1398/08/21,20,88
1398/08/21,21,100
1398/08/21,22,107
1398/08/21,23,99
1398/08/22,0,91
1398/08/22,1,84
1398/08/22,2,60
1398/08/22,3,62
1398/08/22,4,48
1398/08/22,5,42
1398/08/22,6,35
1398/08/22,7,37
1398/08/22,8,46
1398/08/22,9,39
1398/08/22,10,44
1398/08/22,11,63
1398/08/22,12,79
1398/08/22,13,57
1398/08/22,14,74
1398/08/22,15,70
1398/08/22,16,57
1398/08/22,17,57
1398/08/22,18,64
1398/08/22,19,84
1398/08/22,20,90
1398/08/22,21,99
1398/08/22,22,106
1398/08/22,23,108
1398/08/23,0,127
1398/08/23,1,122
1398/08/23,2,115
1398/08/23,3,98
1398/08/23,4,93
1398/08/23,5,94
1398/08/23,6,89
1398/08/23,7,75
1398/08/23,8,87
1398/08/23,9,90
1398/08/23,10,102
1398/08/23,11,139
1398/08/23,12,121
1398/08/23,13,78
1398/08/23,14,63
1398/08/23,15,63
1398/08/23,16,60
1398/08/23,17,59
1398/08/23,18,63
1398/08/24,11,
1398/08/24,12,42
1398/08/24,13,26
1398/08/24,14,18
1398/08/24,15,11
1398/08/24,16,16
1398/08/24,17,6
1398/08/24,18,4
1398/08/24,19,1
1398/08/24,20,4
1398/08/24,21,5
1398/08/24,22,7
1398/08/24,23,19
1398/08/25,0,17
1398/08/25,1,15
1398/08/25,2,15
1398/08/25,3,17
1398/08/25,4,25
1398/08/25,5,22
1398/08/25,6,32
1398/08/25,7,34
1398/08/25,8,28
1398/08/25,9,22
1398/08/25,10,16
1398/08/25,11,10
1398/08/25,12,10
1398/08/25,13,27
1398/08/25,14,17
1398/08/25,15,17
1398/08/25,16,15
1398/08/25,17,18
1398/08/25,18,11
1398/08/25,19,13
1398/08/25,20,18
1398/08/25,21,15
1398/08/25,22,40
1398/08/25,23,37
1398/08/26,0,51
1398/08/26,1,31
1398/08/26,2,41
1398/08/26,3,37
1398/08/26,4,36
1398/08/26,5,38
1398/08/26,6,42
1398/08/26,7,27
1398/08/26,8,26
1398/08/26,9,26
1398/08/26,10,36
1398/08/26,11,46
1398/08/26,12,38
1398/08/26,13,31
1398/08/26,14,14
1398/08/26,15,26
1398/08/26,16,24
1398/08/26,17,28
1398/08/26,18,35
1398/08/26,19,35
1398/08/26,20,25
1398/08/26,21,25
1398/08/26,22,36
1398/08/26,23,44
1398/08/27,0,32
1398/08/27,1,39
1398/08/27,2,35
1398/08/27,3,38
1398/08/27,4,38
1398/08/27,5,30
1398/08/27,6,34
1398/08/27,7,33
1398/08/27,8,38
1398/08/27,9,41
1398/08/27,10,44
1398/08/27,11,41
1398/08/27,12,46
1398/08/27,13,54
1398/08/27,14,64
1398/08/27,15,66
1398/08/27,16,66
1398/08/27,17,66
1398/08/27,18,62
1398/08/27,19,53
1398/08/27,20,38
1398/08/27,21,42
1398/08/27,22,34
1398/08/27,23,39
1398/08/28,0,38
1398/08/28,1,42
1398/08/28,2,45
1398/08/28,3,42
1398/08/28,4,57
1398/08/28,5,51
1398/08/28,6,57
1398/08/28,7,42
1398/08/28,8,40
1398/08/28,9,37
1398/08/28,10,40
1398/08/28,11,36
1398/08/28,12,36
1398/08/28,13,39
1398/08/28,14,42
1398/08/28,15,35
1398/08/28,16,33
1398/08/28,17,36
1398/08/28,18,31
1398/08/28,19,31
1398/08/28,20,37
1398/08/28,21,37
1398/08/28,22,39
1398/08/28,23,36
1398/08/29,0,47
1398/08/29,1,30
1398/08/29,2,31
1398/08/29,3,27
1398/08/29,4,28
1398/08/29,5,25
1398/08/29,6,23
1398/08/29,7,17
1398/08/29,8,19
1398/08/29,9,20
1398/08/29,10,18
1398/08/29,11,19
1398/08/29,12,28
1398/08/29,13,43
1398/08/29,14,45
1398/08/29,15,45
1398/08/29,16,40
1398/08/29,17,32
1398/08/29,18,35
1398/08/29,19,28
1398/08/29,20,32
1398/08/29,21,28
1398/08/29,22,
1398/08/29,23,38
1398/08/30,0,38
1398/08/30,1,41
1398/08/30,2,40
1398/08/30,3,34
1398/08/30,4,37
1398/08/30,5,36
1398/08/30,6,37
1398/08/30,7,41
1398/08/30,8,48
1398/08/30,9,58
1398/08/30,10,77
1398/08/30,11,90
1398/08/30,12,58
1398/08/30,13,43
1398/08/30,14,27
1398/08/30,15,17
1398/08/30,16,18
1398/08/30,17,21
1398/08/30,18,20
1398/08/30,19,28
1398/08/30,20,19
1398/08/30,21,26
1398/08/30,22,29
1398/08/30,23,39
1398/09/01,0,37
1398/09/01,1,52
1398/09/01,2,58
1398/09/01,3,46
1398/09/01,4,45
1398/09/01,5,47
1398/09/01,6,47
1398/09/01,7,52
1398/09/01,8,55
1398/09/01,9,62
1398/09/01,10,63
1398/09/01,11,67
1398/09/01,12,48
1398/09/01,13,48
1398/09/01,14,49
1398/09/01,15,69
1398/09/01,16,63
1398/09/01,17,47
1398/09/01,18,43
1398/09/01,19,48
1398/09/01,20,48
1398/09/01,21,57
1398/09/01,22,59
1398/09/01,23,57
1398/09/02,0,64
1398/09/02,1,64
1398/09/02,2,65
1398/09/02,3,55
1398/09/02,4,53
1398/09/02,5,55
1398/09/02,6,56
1398/09/02,7,60
1398/09/02,8,60
1398/09/02,9,59
1398/09/02,10,55
1398/09/02,11,61
1398/09/02,12,58
1398/09/02,13,74
1398/09/02,14,65
1398/09/02,15,59
1398/09/02,16,51
1398/09/02,17,54
1398/09/02,18,47
1398/09/02,19,53
1398/09/02,20,47
1398/09/02,21,48
1398/09/02,22,45
1398/09/02,23,49
1398/09/03,0,47
1398/09/03,1,58
1398/09/03,2,55
1398/09/03,3,54
1398/09/03,4,53
1398/09/03,5,50
1398/09/03,6,41
1398/09/03,7,48
1398/09/03,8,58
1398/09/03,9,66
1398/09/03,10,70
1398/09/03,11,49
1398/09/03,12,38
1398/09/03,13,52
1398/09/03,14,55
1398/09/03,15,47
1398/09/03,16,50
1398/09/03,17,50
1398/09/03,18,54
1398/09/03,19,48
1398/09/03,20,50
1398/09/03,21,54
1398/09/03,22,51
1398/09/03,23,53
1398/09/04,0,58
1398/09/04,1,48
1398/09/04,2,47
1398/09/04,3,47
1398/09/04,4,39
1398/09/04,5,41
1398/09/04,6,41
1398/09/04,7,41
1398/09/04,8,42
1398/09/04,9,48
1398/09/04,10,50
1398/09/04,11,59
1398/09/04,12,57
1398/09/04,13,53
1398/09/04,14,53
1398/09/04,15,53
1398/09/04,16,50
1398/09/04,17,48
1398/09/04,18,45
1398/09/04,19,48
1398/09/04,20,41
1398/09/04,21,38
1398/09/04,22,29
1398/09/04,23,24
1398/09/05,0,28
1398/09/05,1,40
1398/09/05,2,52
1398/09/05,3,37
1398/09/05,4,38
1398/09/05,5,37
1398/09/05,6,34
1398/09/05,7,38
1398/09/05,8,43
1398/09/05,9,45
1398/09/05,10,44
1398/09/05,11,49
1398/09/05,12,52
1398/09/05,13,58
1398/09/05,14,66
1398/09/05,15,70
1398/09/05,16,66
1398/09/05,17,64
1398/09/05,18,65
1398/09/05,19,54
1398/09/05,20,55
1398/09/05,21,52
1398/09/05,22,53
1398/09/05,23,53
1398/09/06,0,55
1398/09/06,1,54
1398/09/06,2,55
